load_pct,repetitions,admit_rate_mean,admit_rate_std,conditional_slo_attainment_mean,conditional_slo_attainment_std,effective_slo_goodput_mean,effective_slo_goodput_std,p95_ttft_ms_mean,p95_ttft_ms_std,p99_ttft_ms_mean,p99_ttft_ms_std,throttle_rate_mean,throttle_rate_std
50,1,1.0,0.0,1.0,0.0,1.0,0.0,374.9845027923584,0.0,425.6861209869385,0.0,0.0,0.0
80,1,1.0,0.0,1.0,0.0,1.0,0.0,359.0402603149414,0.0,406.3901901245117,0.0,0.0,0.0
100,1,1.0,0.0,1.0,0.0,1.0,0.0,374.81069564819336,0.0,430.3627014160156,0.0,0.0,0.0
120,1,1.0,0.0,1.0,0.0,1.0,0.0,353.848934173584,0.0,385.3588104248047,0.0,0.0,0.0
150,1,1.0,0.0,1.0,0.0,1.0,0.0,368.3042526245117,0.0,417.0858860015869,0.0,0.0,0.0
200,1,1.0,0.0,1.0,0.0,1.0,0.0,350.6307601928711,0.0,392.06647872924805,0.0,0.0,0.0
250,1,1.0,0.0,0.9982905982905983,0.0,0.9982905982905983,0.0,366.7943477630615,0.0,426.6471862792969,0.0,0.0,0.0
300,1,1.0,0.0,1.0,0.0,1.0,0.0,364.64977264404297,0.0,429.2459487915039,0.0,0.0,0.0
500,1,1.0,0.0,1.0,0.0,1.0,0.0,349.40290451049805,0.0,413.4500026702881,0.0,0.0,0.0
800,1,1.0,0.0,1.0,0.0,1.0,0.0,360.3336811065674,0.0,518.9988613128662,0.0,0.0,0.0
1000,1,1.0,0.0,1.0,0.0,1.0,0.0,363.08813095092773,0.0,480.11064529418945,0.0,0.0,0.0
1200,1,1.0,0.0,1.0,0.0,1.0,0.0,362.52665519714355,0.0,459.71202850341797,0.0,0.0,0.0
2000,1,1.0,0.0,0.999330207635633,0.0,0.999330207635633,0.0,375.6060600280762,0.0,472.2309112548828,0.0,0.0,0.0
